iter	Passed	Remaining
881	18768	2510
882	18792	2490
883	18816	2469
884	18836	2447
885	18849	2425
886	18873	2404
887	18898	2383
888	18922	2362
889	18946	2341
890	18970	2320
891	18991	2299
892	19014	2278
893	19039	2257
894	19068	2237
895	19098	2216
896	19127	2196
897	19149	2175
898	19174	2154
899	19195	2132
900	19209	2110
901	19235	2089
902	19258	2068
903	19283	2047
904	19309	2026
905	19333	2005
906	19361	1985
907	19382	1963
908	19403	1942
909	19429	1921
910	19456	1900
911	19482	1879
912	19509	1859
913	19538	1838
914	19549	1816
915	19577	1795
916	19591	1773
917	19605	1751
918	19629	1730
919	19648	1708
920	19664	1686
921	19684	1665
922	19704	1643
923	19724	1622
924	19746	1601
925	19773	1580
926	19792	1558
927	19819	1537
928	19839	1516
929	19860	1494
930	19882	1473
931	19906	1452
932	19928	1431
933	19955	1410
934	19976	1388
935	20002	1367
936	20027	1346
937	20043	1324
938	20056	1302
939	20082	1281
940	20106	1260
941	20124	1239
942	20137	1217
943	20159	1195
944	20180	1174
945	20205	1153
946	20227	1132
947	20256	1111
948	20281	1089
949	20307	1068
950	20329	1047
951	20346	1025
952	20371	1004
953	20395	983
954	20415	962
955	20436	940
956	20460	919
957	20482	897
958	20507	876
959	20526	855
960	20552	834
961	20572	812
962	20597	791
963	20621	770
964	20646	748
965	20664	727
966	20690	706
967	20712	684
968	20736	663
969	20759	642
970	20786	620
971	20799	599
972	20822	577
973	20844	556
974	20867	535
975	20889	513
976	20915	492
977	20942	471
978	20969	449
979	20991	428
980	21016	407
981	21045	385
982	21067	364
983	21094	342
984	21119	321
985	21141	300
986	21166	278
987	21192	257
988	21216	235
989	21244	214
990	21267	193
991	21285	171
992	21309	150
993	21331	128
994	21341	107
995	21363	85
996	21380	64
997	21406	42
998	21422	21
999	21436	0
